blax,blay,blaz,trax,tray,traz,ms
-9.308656,0.098162,-0.138864,10.414778,-0.088585,1.240196,2659625
-9.32781,0.124498,-0.179565,10.443508,-0.136469,1.247379,2659632
-9.270349,0.141258,-0.167594,10.465055,-0.160412,1.256956,2659638
-9.267955,0.112527,-0.07422,10.390836,-0.146046,1.240196,2659645
-9.291897,0.138864,-0.174777,10.402806,-0.162806,1.23062,2659651
-9.303867,0.105345,-0.136469,10.436325,-0.114922,1.278504,2659657
-9.323022,0.167594,-0.189142,10.441113,-0.114922,1.357512,2659664
-9.330204,0.158017,-0.237026,10.340557,-0.143652,1.295263,2659670
-9.31105,0.138864,-0.208296,10.376471,-0.100556,1.312023,2659677
-9.287108,0.100556,-0.124498,10.417171,-0.136469,1.278504,2659683
-9.31105,0.143652,-0.258574,10.414778,-0.138864,1.173159,2659689
-9.308656,0.117316,-0.198719,10.426748,-0.093374,1.132457,2659696
-9.344569,0.126893,-0.227449,10.429143,-0.102951,1.182736,2659702
-9.306262,0.169988,-0.105345,10.364499,-0.129287,1.192312,2659709
-9.330204,0.110133,-0.09098,10.465055,-0.059855,1.233014,2659715
-9.308656,0.146046,-0.141258,10.383653,-0.112527,1.209072,2659721
-9.306262,0.129287,-0.189142,10.350134,-0.102951,1.221043,2659728
-9.260772,0.129287,-0.203507,10.362105,-0.11971,1.247379,2659735
-9.313444,0.117316,-0.201113,10.448297,-0.11971,1.371878,2659741
-9.289502,0.167594,-0.143652,10.455479,-0.079009,1.23062,2659747
-9.294291,0.155623,-0.110133,10.369287,-0.081403,1.276109,2659754
-9.323022,0.1652,-0.248997,10.407595,-0.11971,1.273715,2659760
-9.320627,0.131681,-0.213084,10.405201,-0.110133,1.271321,2659767
-9.272743,0.112527,-0.150835,10.407595,-0.100556,1.297657,2659773
-9.320627,0.102951,-0.071826,10.433931,-0.148441,1.218649,2659779
-9.308656,0.148441,-0.117316,10.43872,-0.069432,1.338359,2659786
-9.31105,0.081403,-0.136469,10.340557,-0.102951,1.225831,2659792
-9.28232,0.09098,-0.172383,10.402806,-0.083797,1.218649,2659799
-9.277532,0.1652,-0.143652,10.383653,-0.126893,1.194707,2659805
-9.294291,0.081403,-0.186748,10.469844,-0.019154,1.252167,2659811
